ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
house of cards,151,1.2,5.96%,51.38%,135.33,3.85
atomic blonde,140,1.09,11.43%,73.68%,85.01,1.82
homeland,137,1.2,7.30%,70.30%,156.19,4.08
game of thrones,120,1.51,3.33%,35.91%,240.35,8.53
dan brown,110,1.16,0.91%,52.34%,224.08,6.05
elle,92,1.02,1.09%,38.30%,64.14,6.46
wonder woman,90,1.22,0.00%,46.36%,131.46,5.78
westworld,88,1.05,18.18%,68.48%,91.73,1.47
blade runner,84,2.2,8.33%,20.54%,280.39,10.62
american horror story,82,1.18,4.88%,58.76%,172.16,3.55
arrow,82,1.16,7.32%,65.26%,169.21,5.0
modern family,82,1.09,7.32%,43.82%,111.07,3.88
harry potter,75,1.68,2.67%,27.78%,445.33,13.47
war on drugs deeper,74,1.22,10.81%,87.78%,185.92,0.38
Wolfenstein,71,1.35,83.10%,2.08%,129.65,1.38
sapiens,70,1.31,2.86%,40.22%,195.56,7.86
le plongeur,69,1.41,2.90%,45.36%,194.99,5.0
the dark tower,65,1.08,9.23%,78.57%,48.94,1.37
national sleep well,63,1.24,11.11%,87.18%,105.27,1.52
la servante Ã©carlate,62,1.56,4.84%,34.02%,270.73,8.53
margaret atwood,62,1.23,6.45%,46.05%,285.95,9.85
michel tremblay,62,1.31,1.61%,56.79%,276.47,7.1
fargo,61,1.25,3.28%,68.42%,175.59,3.36
shabazz palaces,60,1.08,5.00%,83.08%,77.3,1.45
courtney barnett,57,1.05,3.51%,95.00%,113.32,1.18
camilla lackberg,56,1.32,3.57%,43.24%,243.54,6.18
stranger things,56,1.07,19.64%,61.67%,124.32,3.36
david goudreault,55,1.85,3.64%,26.47%,286.07,9.29
outlander,54,1.2,12.96%,47.69%,288.63,6.91
ibeyi,53,1.0,0.00%,94.34%,49.81,1.15
leonard cohen,53,1.51,3.77%,40.00%,364.96,12.51
1984,51,1.33,1.96%,51.47%,165.84,5.65
walking dead,51,1.41,1.96%,48.61%,237.41,7.27
james patterson,50,1.32,6.00%,39.39%,236.4,9.24
king krule,50,1.0,0.00%,100.00%,32.98,1.38
le poids de la neige,50,1.16,0.00%,55.17%,243.6,4.64
the americans,50,1.26,2.00%,69.84%,213.48,6.62
la la land,49,1.29,2.04%,60.32%,156.86,4.53
stephen king,49,1.2,0.00%,62.71%,311.61,8.31
kevin morby,48,1.0,0.00%,95.83%,34.46,1.31
sza,48,1.02,0.00%,97.96%,19.46,1.0
star wars,47,1.62,2.13%,42.11%,434.13,13.43
julien baker,46,1.0,4.35%,95.65%,12.87,0.98
suits,46,1.52,4.35%,40.00%,124.57,5.41
waxahatchee,46,1.02,0.00%,100.00%,12.22,1.02
wind river,46,1.02,15.22%,74.47%,26.98,0.96
alex rocket,45,1.0,0.00%,100.00%,13.16,1.0
alvvays,45,1.04,0.00%,97.87%,25.4,1.09
john maus,45,1.0,2.22%,95.56%,40.73,2.58
tricot,45,1.44,0.00%,44.62%,523.8,16.96
valerian,45,1.33,8.89%,40.00%,244.18,7.31
brand new science fiction,44,1.02,0.00%,100.00%,5.66,0.0
call of duty,44,1.32,11.36%,34.48%,115.3,4.82
destroyer ken,44,1.0,0.00%,100.00%,9.64,1.0
wolf parade cry,44,1.64,0.00%,61.11%,47.8,3.32
cults offering,43,1.09,0.00%,95.74%,7.84,0.02
dvsn,43,1.0,0.00%,100.00%,8.81,1.0
exile outer ring,43,1.02,0.00%,97.73%,22.44,1.02
fever ray plunge,43,1.0,0.00%,100.00%,25.44,0.02
four tet energy,43,1.0,0.00%,100.00%,11.49,1.0
hercules love affair omnion,43,1.0,0.00%,100.00%,6.19,0.0
hundred waters,43,1.0,0.00%,100.00%,11.72,1.0
kelela take,43,1.05,0.00%,97.78%,10.16,0.0
lil b black ken,43,1.0,0.00%,100.00%,8.65,0.0
migos culture,43,1.05,0.00%,100.00%,92.67,1.05
mike God may help your hustle,43,1.02,0.00%,97.73%,10.81,0.0
mono no aware,43,1.0,0.00%,100.00%,34.05,1.02
moses sumney,43,1.02,0.00%,100.00%,16.95,1.02
mount kimbie love,43,1.02,0.00%,100.00%,14.42,1.02
thundercat drunk,43,1.0,0.00%,100.00%,26.65,1.0
torres three futures,43,1.02,0.00%,97.73%,4.77,0.0
tyler creator flower,43,1.0,0.00%,100.00%,7.91,1.0
washed out mister,43,1.0,0.00%,100.00%,12.35,1.0
ariel pink,42,1.1,0.00%,93.48%,15.93,1.29
better call saul,42,1.07,14.29%,62.22%,149.33,2.62
cut copy haiku,42,1.05,0.00%,97.73%,8.93,0.05
dan brown origin,42,1.12,2.38%,8.51%,75.57,3.9
vikings,42,1.57,2.38%,36.36%,164.29,7.38
elena ferrante,41,1.44,0.00%,37.29%,182.07,7.2
Homeland,41,1.51,4.88%,50.00%,108.85,2.68
jain,41,1.24,0.00%,43.14%,326.41,7.49
jessie ware glasshouse,41,1.0,0.00%,100.00%,4.66,0.0
noel,41,1.37,2.44%,42.86%,602.05,24.95
zola jesus,41,1.12,0.00%,93.48%,38.49,1.27
agatha christie,40,1.3,0.00%,59.62%,411.08,13.33
bates motel,40,1.03,2.50%,80.49%,146.73,1.53
dunkirk,40,1.3,0.00%,65.38%,174.45,10.45
guillaume musso,40,2.13,5.00%,28.24%,563.65,11.7
ken follett,40,1.33,5.00%,47.17%,375.83,8.28
charlotte gainsbourg,39,1.21,0.00%,57.45%,254.59,5.64
get out,39,1.26,0.00%,46.94%,120.31,4.49
madam secretary,39,1.03,0.00%,92.50%,18.41,1.26
max richter,39,1.51,5.13%,40.68%,133.9,3.46
orphan black,39,1.05,7.69%,75.61%,107.36,2.46
ray donovan,39,1.1,23.08%,55.81%,176.21,2.72
big little lies,38,1.45,0.00%,43.64%,222.11,5.79
lion,38,1.26,0.00%,66.67%,322.82,9.03
l'ordre du jour,37,1.24,2.70%,41.30%,159.51,4.68
la femme qui fuit,37,2.0,5.41%,35.14%,245.7,6.73
split,37,1.14,0.00%,69.05%,179.68,5.38
bluray,36,1.17,0.00%,21.43%,384.17,23.5
homo deus,36,1.5,5.56%,40.74%,145.0,4.64
joan didion,36,1.42,2.78%,43.14%,273.22,11.75
lee child,36,1.19,27.78%,37.21%,181.53,5.92
protÃ©gez-vous,36,1.39,8.33%,14.00%,302.58,5.5
bat for lashes bride,35,1.0,31.43%,57.14%,38.77,1.0
eric vuillard,35,1.23,2.86%,39.53%,250.97,9.26
Game of thrones,35,1.29,0.00%,35.56%,134.89,5.91
Margaret atwood,35,1.23,0.00%,41.86%,266.46,7.31
michael connelly,35,1.23,0.00%,41.86%,208.43,9.14
robert markland smith,35,1.69,0.00%,0.00%,80.86,3.11
beck colors,34,1.12,2.94%,73.68%,93.26,3.41
c,34,1.59,0.00%,20.37%,443.71,8.82
Le plongeur,34,1.38,2.94%,27.66%,174.82,3.79
Le poids de la neige,34,1.44,5.88%,26.53%,104.59,4.29
Margaret Atwood,34,1.24,2.94%,38.10%,266.29,7.56
normand baillargeon,34,1.24,0.00%,26.19%,218.97,7.09
serge bouchard,34,1.53,2.94%,44.23%,280.62,6.76
Dan brown,33,1.24,3.03%,26.83%,242.67,5.33
La servante Ã©carlate,33,1.42,9.09%,23.40%,297.3,6.73
louise penny,33,1.55,6.06%,41.18%,259.91,7.21
Westworld,33,1.06,9.09%,68.57%,53.7,1.15
Assassins creed origins,32,1.16,59.38%,16.22%,100.47,0.88
Atomic Blonde,32,1.03,18.75%,69.70%,60.28,1.22
Madam secretary season 3,32,1.0,3.13%,84.38%,45.16,0.91
shameless,32,1.06,3.13%,76.47%,143.0,4.38
the fall,32,1.03,6.25%,87.88%,122.34,4.0
the leftovers,32,1.06,12.50%,70.59%,99.94,2.47
twin peaks,32,1.28,9.38%,29.27%,241.06,4.5
whitehorse,32,1.16,6.25%,56.76%,232.28,4.53
Michel tremblay,31,1.23,9.68%,36.84%,196.1,5.13
Michel Tremblay,31,1.29,0.00%,50.00%,235.65,7.19
the mummy,31,1.19,0.00%,78.38%,126.97,5.52
batman,30,1.37,3.33%,58.54%,282.37,14.3
Fleur hana,30,1.37,0.00%,14.63%,400.53,5.97
game of throne,30,1.3,3.33%,53.85%,227.47,7.43
hygge,30,1.83,0.00%,34.55%,426.4,15.67
patrick senecal,30,1.83,10.00%,38.18%,571.73,14.17
the crown,30,1.43,0.00%,48.84%,143.33,6.47
atwood,29,1.17,3.45%,55.88%,193.31,8.14
baby driver,29,1.17,0.00%,64.71%,179.03,6.69
bon cop bad cop,29,1.21,3.45%,51.43%,103.83,4.21
broadchurch,29,1.17,0.00%,70.59%,359.07,5.69
christmas,29,1.72,0.00%,56.00%,608.0,20.86
dan bigras,29,1.14,0.00%,60.61%,222.62,8.03
gotham,29,1.28,0.00%,51.35%,203.93,6.72
industrial economics,29,1.38,0.00%,2.50%,172.0,1.66
java,29,1.55,0.00%,37.78%,319.21,10.83
leila slimani,29,1.1,3.45%,59.38%,188.41,5.1
logan,29,1.1,6.90%,65.63%,128.14,4.03
nora roberts,29,1.59,0.00%,32.61%,355.45,7.9
python,29,1.62,3.45%,36.17%,390.45,8.59
Sapiens,29,1.62,10.34%,14.89%,303.79,4.79
yoga,29,1.59,0.00%,52.17%,335.79,12.17
american gods,28,1.07,14.29%,70.00%,175.5,3.39
arrival,28,1.11,3.57%,64.52%,348.43,13.25
barbara,28,1.36,0.00%,57.89%,294.79,10.71
chuck,28,1.07,3.57%,73.33%,102.11,1.93
espagnol,28,1.57,0.00%,43.18%,509.54,14.29
ken follet,28,1.89,7.14%,33.96%,367.32,8.54
Shameless,28,1.21,3.57%,73.53%,82.5,1.96
the catch,28,1.0,7.14%,75.00%,120.93,2.82
arrow season,27,1.0,33.33%,33.33%,63.52,1.7
asterix,27,1.41,7.41%,44.74%,317.85,6.74
criterion,27,1.19,3.70%,46.88%,286.59,16.63
ghost in the shell,27,1.15,0.00%,74.19%,271.0,6.11
glass castle,27,1.15,7.41%,80.65%,143.19,2.37
gold,27,1.33,0.00%,61.11%,467.78,8.33
le petit prince,27,1.52,0.00%,46.34%,358.85,10.67
moonlight,27,1.19,3.70%,78.13%,111.56,5.67
nier automata,27,1.19,0.00%,84.38%,134.33,4.0
tintin,27,1.56,7.41%,30.95%,315.11,14.04
turn,27,1.0,3.70%,96.30%,23.48,1.04
your name,27,1.26,11.11%,67.65%,112.7,1.85
Assassins creed,26,1.15,3.85%,53.33%,118.85,3.08
billions,26,1.19,0.00%,77.42%,153.62,5.77
bitcoin,26,1.88,11.54%,24.49%,440.69,12.65
breaking bad,26,1.23,3.85%,56.25%,136.0,5.85
call me by your name,26,1.62,7.69%,38.10%,218.31,4.77
citizen kane,26,1.77,11.54%,36.96%,292.5,7.15
danielle steel,26,1.23,0.00%,62.50%,284.5,9.04
john wick,26,1.12,0.00%,72.41%,216.73,4.38
kim thuy,26,1.12,3.85%,48.28%,222.19,7.35
le petit robert,26,1.04,0.00%,0.00%,58.46,2.23
madame figaro,26,1.15,0.00%,30.00%,212.69,4.85
narcos,26,1.42,15.38%,56.76%,390.88,2.23
psychologie,26,1.65,3.85%,39.53%,353.96,8.08
sophie bienvenu,26,1.35,0.00%,45.71%,147.23,3.42
aa,25,1.04,0.00%,3.85%,99.52,4.04
donna leon,25,1.36,0.00%,61.76%,405.04,9.68
excel,25,1.6,8.00%,32.50%,681.16,13.08
final fantasy XV,25,1.6,0.00%,47.50%,87.0,4.08
grace and frankie,25,1.16,0.00%,79.31%,34.88,1.48
guy delisle,25,1.68,0.00%,47.62%,321.2,11.28
it,25,1.28,4.00%,75.00%,162.16,4.96
jo nesbo,25,1.12,4.00%,64.29%,212.12,5.44
kidnap,25,1.08,4.00%,88.89%,96.32,1.08
olivier guez,25,1.28,0.00%,50.00%,342.56,6.48
Rosetta Stone Solution,25,1.0,0.00%,0.00%,94.56,1.2
the founder,25,1.12,0.00%,28.57%,161.8,2.48
vegan,25,1.52,4.00%,52.63%,423.92,11.92
biz,24,1.42,8.33%,55.88%,251.79,6.63
charlotte cardin,24,1.17,16.67%,50.00%,191.46,3.5
claude legault,24,1.25,4.17%,56.67%,215.29,5.29
crochet,24,1.33,4.17%,59.38%,403.79,15.38
dalida,24,1.04,0.00%,76.00%,215.88,8.46
il y aura des morts,24,1.08,0.00%,46.15%,115.67,3.63
L'ordre du jour,24,1.21,8.33%,44.83%,117.96,3.96
law and order,24,1.04,4.17%,92.00%,119.42,3.88
montreal,24,1.29,4.17%,45.16%,359.42,5.29
Outlander,24,1.29,20.83%,22.58%,108.79,2.71
sufjan stevens planetarium,24,1.0,0.00%,100.00%,154.5,3.79
suicide squad,24,1.5,0.00%,52.78%,429.58,9.46
the affair,24,1.33,0.00%,59.38%,161.83,3.33
the glass castle,24,1.04,4.17%,96.00%,68.67,1.13
foucault,23,1.22,0.00%,78.57%,254.96,9.83
janette bertrand,23,1.3,17.39%,33.33%,97.13,4.35
julieta,23,1.0,0.00%,52.17%,195.04,2.87
lucifer,23,1.35,0.00%,45.16%,188.48,5.57
marie laberge,23,1.3,8.70%,26.67%,84.43,3.57
pink floyd,23,1.61,4.35%,40.54%,864.04,15.87
poldark,23,1.09,13.04%,60.00%,258.57,8.0
power rangers,23,1.3,0.00%,53.33%,243.43,9.52
reign,23,1.39,0.00%,53.13%,129.96,3.13
rogue one,23,1.26,0.00%,58.62%,511.91,10.61
scandal,23,1.0,8.70%,65.22%,270.61,4.04
the Witcher 3,23,1.57,4.35%,41.67%,206.35,6.43
thor,23,1.57,0.00%,44.44%,147.39,3.96
zoo,23,1.04,4.35%,83.33%,50.13,2.7
bjÃ¶rk utopia,22,1.14,13.64%,88.00%,109.73,1.64
blockchain,22,1.82,4.55%,17.50%,256.73,7.86
computer network,22,1.0,0.00%,0.00%,6.0,1.0
cuisine,22,1.77,0.00%,41.03%,544.09,16.95
dark tower,22,1.23,13.64%,59.26%,184.95,1.86
deon meyer,22,1.18,0.00%,69.23%,88.32,5.05
donato carrisi,22,1.18,0.00%,53.85%,203.91,3.77
handmaid's tale,22,1.68,0.00%,35.14%,257.18,4.59
hunger games,22,1.41,0.00%,38.71%,595.86,14.36
ielts,22,2.27,13.64%,26.00%,831.09,19.41
ingrid goes west,22,1.14,0.00%,84.00%,35.5,0.36
Introduction Ã  la psychologie sociale,22,1.05,0.00%,8.70%,18.91,2.0
john carpenter,22,1.91,0.00%,52.38%,309.41,11.73
Kate White Even if it kills her,22,1.18,13.64%,38.46%,81.59,2.86
la sorciÃ¨re,22,1.18,9.09%,69.23%,106.5,2.68
le sympathisant,22,1.18,4.55%,42.31%,139.32,3.59
More Than a Rock,22,1.0,0.00%,0.00%,5.77,1.0
naomi klein,22,1.82,4.55%,32.50%,480.23,9.95
nelly,22,1.41,0.00%,70.97%,155.77,6.23
origine,22,1.27,0.00%,67.86%,217.77,7.18
patrick sÃ©nÃ©cal,22,1.82,0.00%,42.50%,357.05,7.45
