scientific name,family name,common name
symphyotrichum novae-angliae,asteraceae,new england aster
phoradendron leucarpum,viscaceae,oak mistletoe
acer macrophyllum,aceraceae,bigleaf maple
polygala sanguinea,polygalaceae,field milkwort
monarda citriodora,lamiaceae,lemon beebalm
lyonia fruticosa,ericaceae,coastal plain staggerbush
commelina communis,commelinaceae,asiatic dayflower
oenothera biennis,onagraceae,common evening primrose
larrea tridentata,zygophyllaceae,creosote bush
viburnum lantanoides,caprifoliaceae,hobblebush
arabis shortii,brassicaceae,short's rockcress
chasmanthium latifolium,poaceae,river oats
celtis pallida,ulmaceae,desert hackberry
magnolia virginiana,magnoliaceae,sweetbay
tradescantia virginiana,commelinaceae,virginia spiderwort
amelanchier arborea,rosaceae,downy serviceberry
sambucus nigra ssp. canadensis,caprifoliaceae,common elder
trifolium dubium,fabaceae,least hop trefoil
alnus rubra,betulaceae,red alder
oplopanax horridus,araliaceae,devil's club
pachycereus pringlei,cactaceae,cardon
mertensia virginica,boraginaceae,virginia bluebells
viola palmata,violaceae,three lobed violet
minuartia patula,caryophyllaceae,glade sandwort
rhizophora mangle,rhizophoraceae,american mangrove
holodiscus discolor,rosaceae,ocean spray
stachys clingmanii,lamiaceae,clingman's hedge nettle
dicentra cucullaria,fumariaceae,dutchman's breeches
euonymus americanus,celastraceae,strawberry bush
euphorbia corollata,euphorbiaceae,flowering spurge
lactuca floridana,asteraceae,tall blue lettuce
campanulastrum americanum,campanulaceae,american bellflower
phleum pratense,poaceae,timothy
symphyotrichum pilosum,asteraceae,white heath aster
lachnocaulon sp.,eriocaulaceae,bogbutton
thaspium barbinode,apiaceae,hairyjoint meadow parsnip
desmodium pauciflorum,fabaceae,fewflower ticktrefoil
hibiscus syriacus,malvaceae,rose of sharon
trillium stamineum,liliaceae,twisted petal trillium
lithocarpus densiflorus,fagaceae,tanoak
verbena urticifolia,verbenaceae,white vervain
gaillardia pulchella,asteraceae,firewheel
artemisia tripartita,asteraceae,threetip sagebrush
liquidambar styraciflua,hamamelidaceae,sweetgum
aesculus pavia,hippocastanaceae,red buckeye
rubus allegheniensis,rosaceae,allegheny blackberry
clinopodium glabellum,lamiaceae,glade savory
tsuga canadensis,pinaceae,eastern hemlock
sisyrinchium albidum,iridaceae,pale blue-eyed grass
enemion biternatum,ranunculaceae,eastern false rue anemone
asclepias variegata,asclepiadaceae,red ring milkweed
ailanthus altissima,simaroubaceae,tree of heaven
hemerocallis fulva,liliaceae,orange daylily
dirca palustris,thymelaeaceae,eastern leatherwood
silene virginica,caryophyllaceae,fire pink
capsella bursa-pastoris,brassicaceae,shepherd's purse
castanea dentata,fagaceae,american chestnut
triticum aestivum,poaceae,common wheat
tradescantia subaspera,commelinaceae,wide leaved spiderwort
parkinsonia aculeata,fabaceae,mexican paloverde
euonymus fortunei,celastraceae,winter creeper
cuphea viscosissima,lythraceae,blue waxweed
aesculus parviflora,hippocastanaceae,bottlebrush buckeye
asparagus officinalis,liliaceae,garden asparagus
lygodium palmatum,lygodiaceae,american climbing fern
chimaphila maculata,pyrolaceae,spotted wintergreen
celtis occidentalis,ulmaceae,northern hackberry
lysimachia quadrifolia,primulaceae,whorled yellow loosestrife
lathyrus latifolius,fabaceae,everlasting pea
cornus florida,cornaceae,flowering dogwood
ambrosia artemisiifolia,asteraceae,common ragweed
antennaria plantaginifolia,asteraceae,plantain-leaf pussy-toes
acer saccharinum,aceraceae,silver maple
pueraria montana,fabaceae,kudzu
sonchus asper,asteraceae,spiny sow thistle
photinia pyrifolia,rosaceae,red chokeberry
myosotis macrosperma,boraginaceae,large seed forget-me-not
polygonum scandens,polygonaceae,climbing false buckwheat
erythronium albidum,liliaceae,white trout lily
rhododendron catawbiense,ericaceae,catawba rhododendron
serenoa repens,arecaceae,saw palmetto
cerastium fontanum ssp. vulgare,caryophyllaceae,mouse eared chickweed
lepidium campestre,brassicaceae,field pepperweed
abies magnifica,pinaceae,california red fir
trifolium hybridum,fabaceae,alsike clover
packera glabella,asteraceae,butterweed
cornus drummondii,cornaceae,roughleaf dogwood
phryma leptostachya,verbenaceae,american lopseed
coreopsis tinctoria,asteraceae,golden tickseed
drosera sp.,droseraceae,sundew
echinacea tennesseensis,asteraceae,tennessee purple coneflower
tiarella trifoliata,saxifragaceae,threeleaf foamflower
fraxinus americana,oleaceae,white ash
lactuca serriola,asteraceae,prickly lettuce
hypericum sphaerocarpum,clusiaceae,roundseed st. johnswort
lonicera maackii,caprifoliaceae,amur honeysuckle
arctostaphylos pungens,ericaceae,pointleaf manzanita
lithospermum canescens,boraginaceae,hoary puccoon
houstonia pusilla,rubiaceae,least bluet
xyris caroliniana,xyridaceae,carolina yellow eyed grass
ipomoea lacunosa,convolvulaceae,small white morning glory
krigia biflora,asteraceae,two flower dwarf dandelion
paulownia tomentosa,bignoniaceae,princess-tree
stellaria pubera,caryophyllaceae,giant chickweed
rhododendron maximum,ericaceae,rosebay rhododendron
mahonia aquifolium,berberidaceae,mahonia
lilium superbum,liliaceae,turk's cap lily
simmondsia chinensis,simmondsiaceae,jojoba
brickellia eupatorioides,asteraceae,false boneset
cuscuta sp.,cuscutaceae,dodder
lobelia puberula,campanulaceae,downy lobelia
apios americana,fabaceae,groundnut
lobelia inflata,campanulaceae,indian tobacco
vicia sativa ssp. nigra,fabaceae,purple vetch
hydrophyllum virginianum,hydrophyllaceae,shawnee salad
thalictrum thalictroides,ranunculaceae,rue anemone
quercus virginiana,fagaceae,live oak
carya ovata,juglandaceae,shagbark hickory
staphylea trifolia,staphyleaceae,american bladdernut
croton capitatus,euphorbiaceae,hogwort
aquilegia canadensis,ranunculaceae,red columbine
ampelopsis cordata,vitaceae,heartleaf ampelopsis
pinus albicaulis,pinaceae,whitebark pine
ruellia humilis,acanthaceae,fringeleaf wild petunia
oxalis priceae,oxalidaceae,price's woodsorrel
rhus copallinum,anacardiaceae,winged sumac
rhus hirta,anacardiaceae,staghorn sumac
lonicera morrowii,caprifoliaceae,morrow's honeysuckle
cardamine angustata,brassicaceae,slender toothwort
ageratina altissima,asteraceae,white snakeroot
magnolia ï¿½soulangiana,magnoliaceae,saucer magnolia
pseudoroegneria spicata ssp. spicata,poaceae,bluebunch wheatgrass
thalictrum clavatum,ranunculaceae,cliff meadow rue
oxalis grandis,oxalidaceae,great yellow woodsorrel
botrychium dissectum,ophioglossaceae,cutleaf grapefern
chamerion angustifolium ssp. angustifolium,onagraceae,fireweed
fagus sylvatica,fagaceae,european beech
aesculus  flava,hippocastanaceae,yellow buckeye
leavenworthia stylosa,brassicaceae,long styled glade cress
gleditsia  triacanthos,fabaceae,honey locust
grindelia lanceolata,asteraceae,narrowleaf gumweed
senna marilandica,fabaceae,southern wild senna
asclepias quadrifolia,asclepiadaceae,four leaf milkweed
pinus aristata,pinaceae,bristlecone pine
centaurea cyanus,asteraceae,bachelor's button
pleurochaete squarrosa,pottiaceae,square pleurochaete moss
arisaema dracontium,araceae,green dragon
lagerstroemia indica,lythraceae,crapemyrtle
silphium mohrii,asteraceae,shaggy rosinweed
helenium amarum,asteraceae,fine leaved sneezeweed
ophioglossum engelmannii,ophioglossaceae,limestone adderstongue
hypoxis hirsuta,iridaceae,yellow stargrass
carya laciniosa,juglandaceae,shellbark hickory
ostrya virginiana,betulaceae,hophornbeam
rumex acetosella,polygonaceae,sheep sorrel
plantago rugelii,plantaginaceae,blackseed plantain
picea rubens,pinaceae,red spruce
opuntia humifusa,cactaceae,eastern prickly pear
pinus ponderosa,pinaceae,ponderosa pine
opuntia spinosior,cactaceae,cane cholla
dalea candida,fabaceae,white prairie clover
oxalis montana,oxalidaceae,northern wood sorrel
tofieldia racemosa,liliaceae,coastal false asphodel
parthenium integrifolium,asteraceae,wild quinine
melilotus alba,fabaceae,white sweet clover
quercus muehlenbergii,fagaceae,chinkapin oak
rhus aromatica,anacardiaceae,fragrant sumac
diodia virginiana,rubiaceae,virginia buttonweed
circaea lutetiana,onagraceae,broadleaf enchanter's nightshade
acacia greggii,fabaceae,catclaw acacia
stylophorum diphyllum,papaveraceae,celandine poppy
acer pensylvanicum,aceraceae,striped maple
acer negundo,aceraceae,boxelder
quercus nigra,fagaceae,water oak
comandra umbellata,santalaceae,bastard toadflax
veratrum viride,liliaceae,green false hellebore
viburnum rufidulum,caprifoliaceae,rusty blackhaw
ranunculus bulbosus,ranunculaceae,bulbosus buttercup
lycopodiella alopecuroides,lycopodiaceae,foxtail clubmoss
carya floridana,juglandaceae,scrub hickory
poa pratensis,poaceae,kentucky bluegrass
pinus clausa,pinaceae,sand pine
liatris aspera,asteraceae,rough blazing star
utricularia sp.,lentibulariaceae,bladderwort
hydrastis canadensis,ranunculaceae,golden seal
asplenium rhizophyllum,aspleniaceae,walking fern
gamochaeta purpurea,asteraceae,spoonleaf purple everlasting
eupatorium altissimum,asteraceae,tall thoroughwort
woodsia obtusa,dryopteridaceae,blunt lobe cliff fern
fragaria virginiana,rosaceae,virginia strawberry
phacelia dubia ssp. interior,hydrophyllaceae,glade phacelia
onosmodium molle,boraginaceae,false gromwell
dichanthelium laxiflorum,poaceae,openflower rosette grass
commelina dianthifolia,commelinaceae,western dayflower
silphium pinnatifidum,asteraceae,cutleaf praire dock
hypericum hypericoides ssp. multicaule,clusiaceae,st. andrew's cross
viola bicolor,violaceae,field pansy
cardamine hirsuta,brassicaceae,hairy bittercress
taraxacum officinale,asteraceae,common dandelion
cypripedium reginae,orchidaceae,showy lady's slipper
acer rubrum,aceraceae,red maple
quercus bicolor,fagaceae,swamp white oak
cheilanthes lanosa,pteridaceae,hairy lipfern
trichostema brachiatum,lamiaceae,fluxweed
anaphalis margaritacea,asteraceae,western pearly everlasting
crataegus phaenopyrum,rosaceae,washington hawthorn
scutellaria ovata,lamiaceae,heart leaf skullcap
carnegiea gigantea,cactaceae,saguaro
pinus coulteri,pinaceae,coulter pine
dianthus armeria,caryophyllaceae,deptford pink
hedera helix,araliaceae,english ivy
ruellia caroliniensis,acanthaceae,carolina wild petunia
verbascum thapsus,scrophulariaceae,common mullein
asclepias incarnata,asclepiadaceae,swamp milkweed
achnatherum occidentale ssp. occidentale,poaceae,western needlegrass
